sensor_id,timestamp,movement_type,direction,season,foot_traffic_count,vehicle_count,public_transport_ref,vu_schedule_ref
5,2025-05-19 07:32:47,"Pedestrian",,,948,0,false,false
6,2025-05-19 07:31:33,"Pedestrian",,,246,0,false,false
10,2025-05-19 07:30:00,"Cyclist",,,19,0,false,false
8,2025-05-19 07:30:00,"Cyclist",,,0,0,false,false
2,2025-05-19 07:30:00,"Cyclist",,,7,0,false,false
4,2025-05-19 07:30:00,"Cyclist",,,10,0,false,false
6,2025-05-19 07:30:00,"Cyclist",,,45,0,false,false
7,2025-05-19 07:30:00,"Cyclist",,,47,0,false,false
13,2025-05-19 07:30:00,"Cyclist",,,6,0,false,false
5,2025-05-19 07:30:00,"Cyclist",,,12,0,false,false
3,2025-05-19 07:30:00,"Cyclist",,,39,0,false,false
11,2025-05-19 07:30:00,"Cyclist",,,133,0,false,false
1,2025-05-19 07:30:00,"Cyclist",,,38,0,false,false
